Community,Population
ARB,10335.0
CPF,14095.0
SIG,13000.0
CAM,2000.0
BRT,765.0
DNW,2825.0
WBN,8745.0
LMR,2990.0
HID,11540.0
RUN,10545.0
ERI,6790.0
PIN,9850.0
HIW,2205.0
MAL,5925.0
BNK,5125.0
ERL,1280.0
COA,3275.0
DIA,625.0
THO,8695.0
FHT,5985.0
HAY,6960.0
SHI,265.0
CSC,5085.0
BLM,800.0
DOV,10795.0
MRT,14540.0
WAL,7650.0
VAR,12040.0
COL,2290.0
QLD,4585.0
WOO,5830.0
OAK,5620.0
MAF,410.0
SOW,6095.0
RDL,1495.0
APP,6830.0
RID,675.0
MIS,4505.0
GBK,7240.0
TUX,5165.0
DNE,3140.0
LPK,1590.0
STR,6830.0
CHR,1880.0
SHG,1765.0
NHU,640.0
ING,4130.0
SOM,8320.0
SAN,5795.0
HOU,2470.0
SDC,9590.0
ASP,9435.0
WHL,6635.0
RCK,3490.0
KIL,7920.0
CAN,7435.0
FAI,3675.0
BEL,400.0
MAC,4740.0
DRG,3795.0
MOP,6325.0
SSW,465.0
SOV,1550.0
EDG,15255.0
RED,1745.0
CUR,1275.0
SSD,4000.0
CAP,4670.0
EAG,260.0
UMR,2735.0
SAD,24365.0
BED,11295.0
PAT,4145.0
SOC,4540.0
COR,5610.0
EAU,1875.0
MCK,13290.0
ACA,9915.0
COU,3660.0
BDO,830.0
WGT,3225.0
LEG,8000.0
CAR,2750.0
CRM,2275.0
RSN,9050.0
WSP,11560.0
PUM,1455.0
MOR,10475.0
DIS,4330.0
HPK,4105.0
HUN,13120.0
GRV,2100.0
SGH,9345.0
DNC,8225.0
MID,6480.0
STA,1345.0
EPK,3285.0
DRN,4910.0
BYV,670.0
WLD,2765.0
MLR,6655.0
SET,3590.0
CRA,20850.0
REN,6580.0
LIV,3985.0
HAM,7360.0
CIT,10180.0
MCT,17505.0
PAN,25535.0
SHW,6520.0
GDL,2715.0
CRE,6240.0
LKB,10145.0
DDG,12920.0
VAL,5365.0
UND,960.0
GAW,2860.0
SCE,7850.0
HAW,9115.0
SIL,8570.0
SKR,12870.0
CNS,6190.0
Calgary Communities - FISH CREEK PARK (FPK) 00000 (  4.5%),430.0
PCK,245.0
MAH,13860.0
RAN,7490.0
PKH,1770.0
NHV,2365.0
HIL,5475.0
BRD,6350.0
LKV,5640.0
VIS,2300.0
GLA,6575.0
AUB,18090.0
BLN,25880.0
EYA,1835.0
CLI,1805.0
RIV,9205.0
CHN,2250.0
TEM,10525.0
BRA,5700.0
WND,4410.0
BOW,10770.0
WHI,11085.0
PKD,2300.0
RMT,1155.0
MPL,1830.0
ROX,415.0
SHN,9055.0
RIC,5250.0
UNI,2965.0
FAL,10325.0
CHK,1535.0
MEA,610.0
WWO,525.0
YKV,715.0
FLN,7230.0
WIL,5090.0
WIN,3605.0
ABB,5925.0
MON,4175.0
HAR,7805.0
OGD,8315.0
KEL,1805.0
PEN,8235.0
SHS,2020.0
BNF,3805.0
SPH,9840.0
BRI,12545.0
KCA,7030.0
GRE,1055.0
SNA,3090.0
EVE,20780.0
BRE,7410.0
SCA,1010.0
POI,1330.0
RUT,2140.0
RAM,2155.0
MRL,8910.0
MAN,950.0
GAG,1680.0
MPK,8290.0
SPR,4195.0
PKL,3430.0
CAS,6130.0
KIN,4900.0
DAL,8530.0
PAL,3285.0
ALB,6740.0
NGM,2435.0
ALT,7290.0
QPK,375.0
CHW,3595.0
CED,5935.0
SVO,7975.0
NOL,8755.0
COV,17350.0
ROY,11580.0
TAR,17630.0
CHV,2480.0
01F,285.0
EVN,18710.0
12A,105.0
CGR,7150.0
ROC,8195.0
TUS,19700.0
CHA,12500.0
NEB,12885.0
