comm_code,name,RE_ASSESSED_VALUE,PROPERTY_TAX,Population,Area (m^2),pop_dens (per m^2
CSC,CITYSCAPE,1472012500,5697571.583,5085,2308556,0.002202676
MRT,MARTINDALE,2112985000,8178519.741,14540,2688042,0.005409142
HID,HIDDEN VALLEY,2495341000,9658466.875,11540,4305268,0.002680437
MAC,MACEWAN GLEN,1045035000,4044912.471,4740,1418088,0.003342529
EDG,EDGEMONT,4509285500,17453640.46,15255,6619604,0.002304519
SAD,SADDLE RIDGE,4870979865,18853614.67,24365,5594510,0.004355162
BED,BEDDINGTON HEIGHTS,2232657038,8641722.331,11295,3199568,0.003530164
NHU,NORTH HAVEN UPPER,173806500,672735.4389,640,269102,0.00237828
SAN,SANDSTONE VALLEY,1244013000,4815076.718,5795,1800382,0.003218761
SGH,SAGE HILL,3238170528,12533662.85,9345,3721800,0.002510882
COU,COUNTRY HILLS,761038500,2945675.618,3660,1888400,0.001938149
RSN,REDSTONE,1798865500,6962688.804,9050,1952696,0.004634618
SKR,SKYVIEW RANCH,2747063500,10632783.98,12870,2310102,0.005571183
CNS,CORNERSTONE,2952382170,11427490.43,6190,7642072,0.00080999
LIV,LIVINGSTON,2571316140,9952536.251,3985,5663625,0.000703613
HAM,HAMPTONS,2529137500,9789279.607,7360,3501668,0.002101855
HAR,HARVEST HILLS,1850188000,7161337.673,7805,2178906,0.003582073
NHV,NORTH HAVEN,550845144,2132101.214,2365,845599,0.002796834
CAS,CASTLERIDGE,872650500,3377681.025,6130,1212143,0.005057159
KCA,KINCORA,1598871000,6188590.093,7030,2270990,0.003095566
NOL,NOLAN HILL,1984766152,7682235.868,8755,2046194,0.004278675
01F,01F,180280000,697791.768,285,884010,0.000322395
DRG,DEER RIDGE,723477000,2800290.076,3795,1416727,0.002678709
HIW,HIGHWOOD,593477000,2297112.076,2205,949719,0.002321739
TUX,TUXEDO PARK,1479626856,5727043.709,5165,1328390,0.003888165
HPK,HIGHLAND PARK,1023313075,3960835.588,4105,1368070,0.003000577
GRV,GREENVIEW,323190106,1250939.624,2100,454096,0.004624573
CRE,CRESCENT HEIGHTS,1933831314,7485087.484,6240,1618361,0.003855753
WIN,WINSTON HEIGHTS/MOUNTVIEW,1099682956,4256432.849,3605,3019139,0.001194049
VIS,VISTA HEIGHTS,326753000,1264730.162,2300,1138378,0.002020419
QPK,QUEENS PARK VILLAGE,42860000,165893.916,375,618957,0.000605858
RDL,ROSEDALE,908310670,3515707.279,1495,661598,0.00225968
GBK,GLENBROOK,1620379000,6271838.957,7240,1960682,0.003692593
RCK,ROSSCARROCK,802437863,3105915.993,3490,1067314,0.003269891
WGT,WESTGATE,792236678,3066431.286,3225,1164032,0.002770542
GDL,GLENDALE,835744910,3234834.249,2715,1369206,0.001982901
CHK,CHINOOK PARK,489209500,1893534.291,1535,581801,0.002638359
WIL,WILLOW PARK,1692672500,6551658.179,5090,3399397,0.001497324
KIN,KINGSLAND,1170478832,4530455.367,4900,1337781,0.003662782
KIL,KILLARNEY/GLENGARRY,2557182708,9897831.39,7920,1844216,0.004294508
WLD,WILDWOOD,1039127651,4022047.486,2765,2562996,0.001078816
HIL,HILLHURST,2242907150,8681396.415,5475,2067814,0.002647724
UND,UNIVERSITY DISTRICT,828736560,3207707.729,960,1153240,0.000832437
RAN,RANCHLANDS,1463807500,5665813.31,7490,2339725,0.003201231
MON,MONTGOMERY,1314331676,5087252.185,4175,2952932,0.001413849
PKD,PARKDALE,952195000,3685565.967,2300,1051383,0.002187595
BRE,BRENTWOOD,2085775818,8073203.881,7410,2892227,0.00256204
POI,POINT MCKAY,462452745,1789969.595,1330,383187,0.00347089
DAL,DALHOUSIE,2271245026,8791080.998,8530,3343588,0.002551152
CHW,CHARLESWOOD,1187676000,4597018.726,3595,1830858,0.00196356
RID,RIDEAU PARK,454625500,1759673.46,675,267073,0.002527399
LMR,LOWER MOUNT ROYAL,787980376,3049956.843,2990,284262,0.010518465
BNK,BANKVIEW,1282098550,4962490.648,5125,686478,0.007465643
SOC,SOUTH CALGARY,1588940612,6150153.533,4540,887671,0.005114508
MEA,MEADOWLARK PARK,245461500,950083.2819,610,633060,0.000963574
EYA,ELBOYA,814258472,3151668.842,1835,721690,0.002542643
MAN,MANCHESTER,234721584,908513.363,950,473514,0.002006276
DNW,DOWNTOWN WEST END,915449293,3543338.033,2825,364483,0.007750704
SSD,SUNNYSIDE,1228211447,4753915.227,4000,1022491,0.003912015
DNE,DOWNTOWN EAST VILLAGE,1230572653,4763054.511,3140,522051,0.006014738
BLN,BELTLINE,8592473800,33258029.09,25880,2942251,0.008795986
DNC,DOWNTOWN COMMERCIAL CORE,2123961302,8221004.616,8225,1328502,0.006191184
EAU,EAU CLAIRE,1088924500,4214791.17,1875,516041,0.003633432
CHN,CHINATOWN,748801945,2898312.808,2250,246671,0.009121461
