COMM_CODE,RE_ASSESSED_VALUE,PROPERTY_TAX
01C,29495840.0,114166.598304
01F,180280000.0,697791.768
01H,4755500.0,18406.6383
02C,1129142.0,4370.4570252
02K,814500.0,3152.6037
02L,48861845.0,189124.657257
03W,23112705.0,89460.035973
05D,3526670.0,13650.328902000001
05E,416000.0,1610.1696
05F,2186000.0,8461.1316
06A,24766865.0,95862.627669
06B,2347000.0,9084.298200000001
06C,3300000.0,12772.98
09K,3857640.0,14931.381384
09O,20459639.0,79191.0787134
09P,46406975.0,179622.837435
09Q,636000.0,2461.7016
10D,432571.0,1674.3093126
10E,8639500.0,33440.0487
12A,23651805.0,91546.676433
12B,33768653.0,130704.9483018
12C,46488277.0,179937.5249562
12J,21937859.0,84912.6770454
12K,6469584.0,25041.171830400002
12L,14369261.0,55617.661626600006
13A,3366272.0,13029.4924032
13C,5367599.0,20775.8286894
13E,511786.0,1980.9188916
13F,12683033.0,49090.9475298
13G,11079631.0,42884.8197486
13K,50354000.0,194900.1924
13M,23901926.0,92514.79477559999
ABB,856532590.0,3315295.042854
ABP,14405000.0,55755.993
ACA,2138250500.0,8276312.3853
ALB,1030448128.0,3988452.5242368
ALP,669713600.0,2592193.4601600002
ALT,3113383642.0,12050662.7247252
APP,996159000.0,3855733.0254
ARB,2837065000.0,10981143.789
ASP,4021834800.0,15566913.77688
AUB,4482059500.0,17348259.5007
AYB,258000.0,998.6148000000001
BDO,230761500.0,893185.4619
BED,2232657038.0,8641722.3312828
BEL,459600000.0,1778927.76
BLM,894250500.0,3461285.9853000003
BLN,8592473800.0,33258029.09028
BNF,1260638634.0,4879427.8967604
BNK,1282098550.0,4962490.6476300005
BOW,2695835683.0,10434501.5946198
BRA,1262267000.0,4885730.6502
BRD,2267731638.0,8777482.0780428
BRE,2085775818.0,8073203.8811508
BRI,2270922500.0,8789832.6285
BRT,688973000.0,2666738.8938
BUR,346800.0,1342.32408
BVD,428791067.0,1659678.7039302
BYV,379190000.0,1467692.814
CAM,643186500.0,2489517.6669
CAN,1998851500.0,7736754.615900001
